counter,name,function_name,real_parameter,typical_parameter,returns_value,file_name,start_row,start_column,end_row,end_column,
127,-,UNNAMED,0,0,false,./src/init/resources/piskel-master/src/js/service/BackupService.js,1,0,161,5,
128,-,UNNAMED,0,0,false,./src/init/resources/piskel-master/src/js/service/BeforeUnloadService.js,1,0,47,5,
129,-,UNNAMED,0,0,false,./src/init/resources/piskel-master/src/js/service/ClipboardService.js,1,0,25,5,
130,-,UNNAMED,0,0,false,./src/init/resources/piskel-master/src/js/service/color/ColorSorter.js,1,0,104,5,
131,-,UNNAMED,0,0,false,./src/init/resources/piskel-master/src/js/service/CurrentColorsService.js,1,0,129,5,
132,-,UNNAMED,0,0,false,./src/init/resources/piskel-master/src/js/service/FileDropperService.js,1,0,101,5,
133,-,UNNAMED,0,0,false,./src/init/resources/piskel-master/src/js/service/HistoryService.js,1,0,199,5,
134,-,UNNAMED,0,0,false,./src/init/resources/piskel-master/src/js/service/ImageUploadService.js,1,0,31,5,
135,-,UNNAMED,0,0,false,./src/init/resources/piskel-master/src/js/service/ImportService.js,2,0,141,5,
136,-,UNNAMED,0,0,false,./src/init/resources/piskel-master/src/js/service/keyboard/KeycodeTranslator.js,1,0,47,5,
137,-,UNNAMED,0,0,false,./src/init/resources/piskel-master/src/js/service/keyboard/KeyUtils.js,1,0,80,5,
138,-,UNNAMED,0,0,false,./src/init/resources/piskel-master/src/js/service/keyboard/Shortcut.js,1,0,135,5,
139,-,UNNAMED,0,0,false,./src/init/resources/piskel-master/src/js/service/keyboard/Shortcuts.js,1,0,94,5,
140,-,UNNAMED,0,0,false,./src/init/resources/piskel-master/src/js/service/keyboard/ShortcutService.js,1,0,130,5,
141,-,UNNAMED,0,0,false,./src/init/resources/piskel-master/src/js/service/MouseStateService.js,1,0,43,5,
142,-,UNNAMED,0,0,false,./src/init/resources/piskel-master/src/js/service/palette/CurrentColorsPalette.js,1,0,15,5,
143,-,UNNAMED,0,0,false,./src/init/resources/piskel-master/src/js/service/palette/PaletteGplWriter.js,1,0,40,5,
144,-,UNNAMED,0,0,false,./src/init/resources/piskel-master/src/js/service/palette/PaletteImportService.js,1,0,52,5,
145,-,UNNAMED,0,0,false,./src/init/resources/piskel-master/src/js/service/palette/PaletteService.js,1,0,73,5,
146,-,UNNAMED,0,0,false,./src/init/resources/piskel-master/src/js/service/palette/reader/AbstractPaletteFileReader.js,1,0,35,5,
147,-,UNNAMED,0,0,false,./src/init/resources/piskel-master/src/js/service/palette/reader/PaletteGplReader.js,1,0,23,5,
148,-,UNNAMED,0,0,false,./src/init/resources/piskel-master/src/js/service/palette/reader/PaletteImageReader.js,1,0,54,5,
149,-,UNNAMED,0,0,false,./src/init/resources/piskel-master/src/js/service/palette/reader/PalettePalReader.js,1,0,19,5,
150,-,UNNAMED,0,0,false,./src/init/resources/piskel-master/src/js/service/palette/reader/PaletteTxtReader.js,1,0,17,5,
151,-,UNNAMED,0,0,false,./src/init/resources/piskel-master/src/js/service/pensize/PenSizeService.js,1,0,50,5,
152,-,UNNAMED,0,0,false,./src/init/resources/piskel-master/src/js/service/performance/PerformanceReport.js,1,0,45,5,
153,-,UNNAMED,0,0,false,./src/init/resources/piskel-master/src/js/service/performance/PerformanceReportService.js,1,0,29,5,
154,-,UNNAMED,0,0,false,./src/init/resources/piskel-master/src/js/service/SavedStatusService.js,1,0,31,5,
155,-,UNNAMED,0,0,false,./src/init/resources/piskel-master/src/js/service/SelectedColorsService.js,1,0,29,5,
156,-,UNNAMED,0,0,false,./src/init/resources/piskel-master/src/js/service/storage/DesktopStorageService.js,1,0,62,5,
157,-,UNNAMED,0,0,false,./src/init/resources/piskel-master/src/js/service/storage/FileDownloadStorageService.js,1,0,27,5,
158,-,UNNAMED,0,0,false,./src/init/resources/piskel-master/src/js/service/storage/GalleryStorageService.js,1,0,60,5,
159,-,UNNAMED,0,0,false,./src/init/resources/piskel-master/src/js/service/storage/IndexedDbStorageService.js,1,0,57,5,
160,-,UNNAMED,0,0,false,./src/init/resources/piskel-master/src/js/service/storage/LocalStorageService.js,1,0,92,5,
161,-,UNNAMED,0,0,false,./src/init/resources/piskel-master/src/js/service/storage/StorageService.js,1,0,116,5,
162,-,UNNAMED,0,0,false,./src/init/resources/piskel-master/src/js/snippets.js,1,0,1,19,
163,-,UNNAMED,0,0,false,./src/init/resources/piskel-master/src/js/tools/drawing/BaseTool.js,6,0,93,5,
164,-,UNNAMED,0,0,false,./src/init/resources/piskel-master/src/js/tools/drawing/Circle.js,6,0,92,5,
